id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
MESH:D018237	Germinoma	Germinomas										D018237
MESH:D018238	Gonadoblastoma	Gonadoblastomas										D018238
MESH:D018239	Seminoma	Seminomas										D018239
MESH:D018240	Endodermal Sinus Tumor	Endodermal Sinus Tumors | Tumor, Endodermal Sinus | Tumors, Endodermal Sinus | Yolk Sac Tumor | Tumors, Yolk Sac | Tumor, Yolk Sac | Yolk Sac Tumors										D018240
MESH:D018241	Neuroectodermal Tumors, Primitive, Peripheral	Peripheral Primitive Neuroectodermal Neoplasm | Primitive Neuroectodermal Tumor, Extracranial | Neuroepithelioma, Peripheral | Neuroepitheliomas, Peripheral | Peripheral Neuroepithelioma | Peripheral Neuroepitheliomas | Peripheral Primitive Neuroectodermal Tumor | Neuroectodermal Tumor, Peripheral | Neuroectodermal Tumors, Peripheral | Peripheral Neuroectodermal Tumor | Peripheral Neuroectodermal Tumors | Tumor, Peripheral Neuroectodermal | Tumors, Peripheral Neuroectodermal | Peripheral Primitive Neuroectodermal Tumors | (pPNET) Peripheral Primitive Neuroectodermal Tumors | Extracranial Primitive Neuroectodermal Tumor | Neuroectodermal Tumor, Peripheral Primitive | Neuroectodermal Neoplasm, Peripheral Primitive										D018241
MESH:D018242	Neuroectodermal Tumors, Primitive	Neoplasms, Primitive Neuroepithelial | Neoplasm, Primitive Neuroepithelial | Neuroepithelial Neoplasm, Primitive | Primitive Neuroepithelial Neoplasm | Neuroectodermal Tumor, Primitive | Primitive Neuroectodermal Tumor | Primitive Neuroectodermal Tumors | Tumor, Primitive Neuroectodermal | Tumors, Primitive Neuroectodermal | Neuroepithelial Neoplasms, Primitive | Neuroepithelial Tumors, Primitive | Neuroepithelial Tumor, Primitive | Primitive Neuroepithelial Tumor | Primitive Neuroepithelial Tumors | Tumor, Primitive Neuroepithelial | Tumors, Primitive Neuroepithelial | PNET | PNETs | Primitive Neuroepithelial Neoplasms										D018242
MESH:D018243	Teratocarcinoma	Teratocarcinomas										D018243
MESH:D018245	Trophoblastic Tumor, Placental Site	Placental-Site Trophoblastic Tumor | Placental Site Trophoblastic Tumor | Placental-Site Trophoblastic Tumors | Trophoblastic Tumor, Placental-Site | Trophoblastic Tumors, Placental-Site | Tumor, Placental-Site Trophoblastic | Tumors, Placental-Site Trophoblastic | Trophoblastic Tumor, Placental | Placental Trophoblastic Tumor | Placental Trophoblastic Tumors | Trophoblastic Tumors, Placental | Tumor, Placental Trophoblastic | Tumors, Placental Trophoblastic										D018245
MESH:D018246	Adrenocortical Adenoma	Adenomas, Adrenocortical | Adrenocortical Adenomas | Adenoma, Adrenal Cortical | Adenomas, Adrenal Cortical | Adrenal Cortical Adenoma | Adrenal Cortical Adenomas | Adenoma, Adrenocortical										D018246
MESH:D018248	Adenoma, Liver Cell	Adenomas, Liver Cell | Liver Cell Adenoma | Liver Cell Adenomas | Adenoma, Hepatocellular | Adenomas, Hepatocellular | Hepatocellular Adenoma | Hepatocellular Adenomas | Hepatoma, Benign | Benign Hepatoma | Benign Hepatomas | Hepatomas, Benign										D018248
MESH:D018249	Adenoma, Oxyphilic	Oxyphilic Adenoma | Oncocytoma										D018249
MESH:D018250	Acrospiroma	Acrospiromas | Hidradenoma | Hidradenomas | Spiradenoma | Spiradenomas										D018250
MESH:D018251	Hidrocystoma	Hidrocystomas										D018251
MESH:D018252	Syringoma	Syringomas										D018252
MESH:D018253	Adenoma, Villous	Adenomas, Villous | Villous Adenoma | Villous Adenomas										D018253
MESH:D018254	Adenomatoid Tumor	Adenomatoid Tumors | Tumor, Adenomatoid | Tumors, Adenomatoid										D018254
MESH:D018255	Adenomatosis, Pulmonary	Pulmonary Adenomatosis | Adenomatoses, Pulmonary | Pulmonary Adenomatoses										D018255
MESH:D018256	Adenomatous Polyps	Adenomatous Polyp | Polyp, Adenomatous | Polyps, Adenomatous										D018256
MESH:D018261	Mesothelioma, Cystic	Cystic Mesothelioma | Cystic Mesotheliomas | Mesotheliomas, Cystic										D018261
MESH:D018262	Adenocarcinoma, Clear Cell	Adenocarcinomas, Clear Cell | Clear Cell Adenocarcinoma | Clear Cell Adenocarcinomas										D018262
MESH:D018263	Adenocarcinoma, Follicular	Adenocarcinomas, Follicular | Follicular Adenocarcinoma | Follicular Adenocarcinomas | Follicular Thyroid Carcinoma | Carcinoma, Follicular Thyroid | Carcinomas, Follicular Thyroid | Follicular Thyroid Carcinomas | Thyroid Carcinomas, Follicular | Thyroid Carcinoma, Follicular										D018263
MESH:D018265	Carcinoma, Papillary, Follicular											D018265
MESH:D018266	Adenocarcinoma, Sebaceous	Adenocarcinomas, Sebaceous | Sebaceous Adenocarcinoma | Sebaceous Adenocarcinomas										D018266
MESH:D018267	Carcinoma, Acinar Cell	Acinar Cell Carcinoma | Acinar Cell Carcinomas | Carcinomas, Acinar Cell | Acinar Carcinoma | Acinar Carcinomas | Carcinoma, Acinar | Carcinomas, Acinar | Acinic Cell Carcinoma | Acinic Cell Carcinomas | Carcinoma, Acinic Cell | Carcinomas, Acinic Cell | Acinic Cell Tumor | Acinic Cell Tumors | Tumor, Acinic Cell | Tumors, Acinic Cell | Acinar Cell Adenocarcinoma | Acinar Cell Adenocarcinomas | Adenocarcinoma, Acinar Cell | Adenocarcinomas, Acinar Cell | Acinic Cell Adenocarcinoma | Acinic Cell Adenocarcinomas | Adenocarcinoma, Acinic Cell | Adenocarcinomas, Acinic Cell										D018267
