id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
DOID:501	central nervous system hemangioma	hemangioma of CNS			501		C7004				C1333957	
DOID:5015	fibrolamellar carcinoma	Fibrolamellar hepatocellular carcinoma | Hepatocellular carcinoma, fibrolamellar | Oncocytic Hepatocellular tumor	15619004		5015		C4131		401920		C0334287	C537258
DOID:5016	hepatocellular clear cell carcinoma	Clear cell carcinoma of the Liver cells | Hepatocellular carcinoma, clear cell type	128649001		5016		C5754				C1266020	
DOID:502	central nervous system mesenchymal non-meningothelial tumor	central nervous system mesenchymal non-meningothelial tumour | Non-meningothelial mesenchymal tumor | Non-meningothelial mesenchymal tumour			502							
DOID:5022	aflatoxins-related hepatocellular carcinoma				5022		C27922				C1332222	
DOID:5026	sclerosing hepatic carcinoma	Sclerosing Hepatocellular carcinoma	128646008		5026		C27388				C1266018	
DOID:5030	pineal parenchymal tumor of intermediate differentiation	pineal parenchymal tumour of intermediate differentiation	715904005		5030		C6967				C1367859	
DOID:5031	adult pineal parenchymal tumor	adult Pineal Parenchymal neoplasm			5031		C8273				C0280794	
DOID:5032	pineal gland cancer	malignant Pineal Region tumor | malignant tumor of pineal gland | neoplasm of pineal gland | neoplasm of the Pineal Region | pineal body neoplasm | Pineocytic tumor | tumor of the pineal region	127026004;93962006		5032		C3328;C3573;C6965	C75.3			C0031941;C0153655;C1412004	D010871
DOID:5039	myoblastoma	benign granular cell tumor	1336225003		5039		C3252				C0027043	D009379
DOID:5040	malignant granular cell esophageal tumor	granular cell tumor of esophagus | granular cell tumour of oesophagus | malignant granular cell esophageal tumour	1196862008		5040		C5700				C1333448	
DOID:5041	esophageal cancer	Ca lower third oesophagus | Ca middle third oesophagus | esophagus cancer | malignant neoplasm of distal third of esophagus | malignant neoplasm of lower third of oesophagus | malignant neoplasm of middle third of oesophagus | malignant neoplasm of proximal third of esophagus | malignant neoplasm of upper third esophagus | malignant tumor of abdominal esophagus | malignant tumor of Distal Third of esophagus | malignant tumor of Proximal Third of esophagus | malignant tumor of the middle Third of the esophagus	126817006;187729008;93656003;93877002;93895004;94119000		5041		C3028;C3533;C3534;C3535;C4764	C15.3;C15.4;C15.5			C0014859;C0153413;C0153414;C0153415;C0153416;C0496775	D004938
DOID:5042	malignant granular cell myoblastoma	granular cell tumor, malignant | malignant granular cell neoplasm | malignant granular cell tumor	404041003		5042		C4336				C0334618	
DOID:5043	vulvar granular cell tumor				5043		C40328				C1520083	
DOID:5044	cardiac granular cell neoplasm	granular cell tumor of Heart			5044		C5360				C1332845	
DOID:5046	mediastinal granular cell myoblastoma	granular cell tumor of mediastinum			5046		C6601				C1334656	
DOID:5047	granular cell tumor of the sellar region	neurohypophysis granular cell tumor	699331002		5047		C7017				C1333873	
DOID:5048	posterior pituitary gland neoplasm	Posterior Pituitary tumor			5048		C7157				C1334957	
DOID:505	hobnail hemangioma				505							
DOID:5050	Ehrlich tumor carcinoma	Ehrlich tumour carcinoma | Ehrlich's tumor | Ehrlich's tumour			5050						C0007125	D002286
DOID:5052	melioidosis	acute and fulminating melioidosis | Nightcliff gardener's disease | Pseudoglanders | subacute and chronic melioidosis | Whitmore's disease	428111003		5052		C128336	A24.9			C0025229	D008554
DOID:5056	adult cerebellar neoplasm	tumor of adult Cerebellum			5056		C5968				C1332197	
DOID:5057	papillary meningioma of the cerebellum	Papillary meningioma of Cerebellum			5057		C5270				C1332902	
DOID:5058	rhabdoid meningioma	meningioma, rhabdoid | Papillary meningioma	399469000		5058		C6909				C0259786	
DOID:5059	childhood cerebellar neoplasm	pediatric tumor of Cerebellum			5059		C5970				C1332959	
