id	label	synonyms	umls
NCIT:C133504	Metastatic Melanoma in the Central Nervous System	Melanoma Metastatic in the Central Nervous System | Melanoma Metastatic in the CNS	
NCIT:C133519	Pathologic Stage 0 Esophageal Squamous Cell Carcinoma AJCC v8	0 | Stage 0 Esophageal Squamous Cell Cancer	
NCIT:C133521	Pathologic Stage I Esophageal Squamous Cell Carcinoma AJCC v8	Stage I Esophageal Squamous Cell Cancer	
NCIT:C133525	Pathologic Stage IA Esophageal Squamous Cell Carcinoma AJCC v8	IA | Stage IA Esophageal Squamous Cell Cancer	
NCIT:C133530	Pathologic Stage IB Esophageal Squamous Cell Carcinoma AJCC v8	IB | Stage IB Esophageal Squamous Cell Cancer	
NCIT:C133532	Pathologic Stage II Esophageal Squamous Cell Carcinoma AJCC v8	Stage II Esophageal Squamous Cell Cancer	
NCIT:C133534	Pathologic Stage IIA Esophageal Squamous Cell Carcinoma AJCC v8	IIA | Stage IIA Esophageal Squamous Cell Cancer	
NCIT:C133535	Pathologic Stage IIB Esophageal Squamous Cell Carcinoma AJCC v8	IIB | Stage IIB Esophageal Squamous Cell Cancer	
NCIT:C133536	Pathologic Stage III Esophageal Squamous Cell Carcinoma AJCC v8	Stage III Esophageal Squamous Cell Cancer	
NCIT:C133537	Pathologic Stage IIIA Esophageal Squamous Cell Carcinoma AJCC v8	IIIA | Stage IIIA Esophageal Squamous Cell Cancer	
NCIT:C133538	Pathologic Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8	IIIB | Stage IIIB Esophageal Squamous Cell Cancer	
NCIT:C133539	Pathologic Stage IV Esophageal Squamous Cell Carcinoma AJCC v8	Stage IV Esophageal Squamous Cell Cancer	
NCIT:C133541	Pathologic Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8	IVA | Stage IVA Esophageal Squamous Cell Cancer	
NCIT:C133542	Pathologic Stage IVB Esophageal Squamous Cell Carcinoma AJCC v8	IVB | Stage IVB Esophageal Squamous Cell Cancer	
NCIT:C133548	Gastroesophageal Junction Adenocarcinoma by AJCC v8 Stage		
NCIT:C133549	Gastroesophageal Junction Adenocarcinoma by AJCC v8 Clinical Stage	Gastroesophageal Junction Adenocarcinoma by AJCC v8 cTNM Stage	
NCIT:C133550	Clinical Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133552	Clinical Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133553	Clinical Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133554	Clinical Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133555	Clinical Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133556	Clinical Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133557	Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133558	Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133560	Clinical Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133563	Gastroesophageal Junction Adenocarcinoma by AJCC v8 Pathologic Stage	Gastroesophageal Junction Adenocarcinoma by AJCC v8 pTNM Stage	
NCIT:C133564	Pathologic Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133565	Pathologic Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133566	Pathologic Stage IA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133567	Pathologic Stage IB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133568	Pathologic Stage IC Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133570	Pathologic Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133572	Pathologic Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133573	Pathologic Stage IIB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133575	Pathologic Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133577	Pathologic Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133579	Pathologic Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133580	Pathologic Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133581	Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133582	Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133583	Gastroesophageal Junction Adenocarcinoma by AJCC v8 Postneoadjuvant Therapy Stage	Gastroesophageal Junction Adenocarcinoma by AJCC v8 ypTNM Stage	
NCIT:C133584	Postneoadjuvant Therapy Stage I Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133585	Postneoadjuvant Therapy Stage II Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133586	Postneoadjuvant Therapy Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133587	Postneoadjuvant Therapy Stage IIIA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133588	Postneoadjuvant Therapy Stage IIIB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133589	Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133590	Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133591	Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8		
NCIT:C133592	Recurrent Classic Hodgkin Lymphoma	Recurrent Classical Hodgkin Lymphoma | Relapsed Classical Hodgkin Lymphoma	
NCIT:C133638	Gastric Cancer by AJCC v8 Stage	Gastric Carcinoma by AJCC v8 Stage	
NCIT:C133639	Gastric Cancer by AJCC v8 Clinical Stage	Gastric Cancer by AJCC v8 cTNM Stage | Gastric Carcinoma by AJCC v8 Clinical Stage	
NCIT:C133640	Gastric Cancer by AJCC v8 Pathologic Stage	Gastric Cancer by AJCC v8 pTNM Stage | Gastric Carcinoma by AJCC v8 Pathologic Stage | Tumor Stage (Pathologic)	
NCIT:C133641	Gastric Cancer by AJCC v8 Postneoadjuvant Therapy Stage	Gastric Cancer by AJCC v8 ypTNM Stage | Gastric Carcinoma by AJCC v8 Postneoadjuvant Therapy Stage	
NCIT:C133647	Clinical Stage 0 Gastric Cancer AJCC v8	Clinical Stage 0 Gastric Carcinoma AJCC v8 | Stage 0 Gastric (Stomach) Cancer	
NCIT:C133648	Clinical Stage I Gastric Cancer AJCC v8	Clinical Stage I Gastric Carcinoma AJCC v8 | Stage I Gastric (Stomach) Cancer	
NCIT:C133649	Clinical Stage II Gastric Cancer AJCC v8	Clinical Stage II Gastric Carcinoma AJCC v8 | Stage II Gastric (Stomach) Cancer	
NCIT:C133650	Clinical Stage III Gastric Cancer AJCC v8	Clinical Stage III Gastric Carcinoma AJCC v8 | Stage III Gastric (Stomach) Cancer	
NCIT:C133651	Clinical Stage IV Gastric Cancer AJCC v8	Clinical Stage IV Gastric Carcinoma AJCC v8 | Stage IV Gastric (Stomach) Cancer	
NCIT:C133652	Clinical Stage IVA Gastric Cancer AJCC v8	Clinical Stage IVA Gastric Carcinoma AJCC v8 | Stage IVA Gastric (Stomach) Cancer	
NCIT:C133653	Clinical Stage IVB Gastric Cancer AJCC v8	Clinical Stage IVB Gastric Carcinoma AJCC v8 | Stage IVB Gastric (Stomach) Cancer	
NCIT:C133654	Pathologic Stage 0 Gastric Cancer AJCC v8	0 | Pathologic Stage 0 Gastric Carcinoma AJCC v8 | Stage 0 Gastric (Stomach) Cancer	
NCIT:C133655	Pathologic Stage I Gastric Cancer AJCC v8	Pathologic Stage I Gastric Carcinoma AJCC v8 | Stage I Gastric (Stomach) Cancer	
NCIT:C133656	Pathologic Stage IA Gastric Cancer AJCC v8	IA | Pathologic Stage IA Gastric Carcinoma AJCC v8 | Stage IA Gastric (Stomach) Cancer	
NCIT:C133657	Pathologic Stage IB Gastric Cancer AJCC v8	IB | Pathologic Stage IB Gastric Carcinoma AJCC v8 | Stage IB Gastric (Stomach) Cancer	
NCIT:C133659	Pathologic Stage II Gastric Cancer AJCC v8	Pathologic Stage II Gastric Carcinoma AJCC v8 | Stage II Gastric (Stomach) Cancer	
NCIT:C133660	Pathologic Stage IIA Gastric Cancer AJCC v8	IIA | Pathologic Stage IIA Gastric Carcinoma AJCC v8 | Stage IIA Gastric (Stomach) Cancer	
NCIT:C133662	Pathologic Stage IIB Gastric Cancer AJCC v8	IIB | Pathologic Stage IIB Gastric Carcinoma AJCC v8 | Stage IIB Gastric (Stomach) Cancer	
NCIT:C133663	Pathologic Stage III Gastric Cancer AJCC v8	Pathologic Stage III Gastric Carcinoma AJCC v8 | Stage III Gastric (Stomach) Cancer	
NCIT:C133665	Pathologic Stage IIIA Gastric Cancer AJCC v8	IIIA | Pathologic Stage IIIA Gastric Carcinoma AJCC v8 | Stage IIIA Gastric (Stomach) Cancer	
NCIT:C133666	Pathologic Stage IIIB Gastric Cancer AJCC v8	IIIB | Pathologic Stage IIIB Gastric Carcinoma AJCC v8 | Stage IIIB Gastric (Stomach) Cancer	
NCIT:C133667	Pathologic Stage IIIC Gastric Cancer AJCC v8	IIIC | Pathologic Stage IIIC Gastric Carcinoma AJCC v8 | Stage IIIC Gastric (Stomach) Cancer	
NCIT:C133668	Pathologic Stage IV Gastric Cancer AJCC v8	IV | Pathologic Stage IV Gastric Carcinoma AJCC v8 | Stage IV Gastric (Stomach) Cancer	
NCIT:C133670	Postneoadjuvant Therapy Stage I Gastric Cancer AJCC v8	Postneoadjuvant Therapy Stage I Gastric Carcinoma AJCC v8 | Stage I Gastric (Stomach) Cancer	
NCIT:C133671	Postneoadjuvant Therapy Stage II Gastric Cancer AJCC v8	Postneoadjuvant Therapy Stage II Gastric Carcinoma AJCC v8 | Stage II Gastric (Stomach) Cancer	
NCIT:C133672	Postneoadjuvant Therapy Stage III Gastric Cancer AJCC v8	Postneoadjuvant Therapy Stage III Gastric Carcinoma AJCC v8 | Stage III Gastric (Stomach) Cancer	
NCIT:C133673	Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8	Postneoadjuvant Therapy Stage IV Gastric Carcinoma AJCC v8 | Stage IV Gastric (Stomach) Cancer	
NCIT:C133681	Clinical Stage IIA Gastric Cancer AJCC v8	Clinical Stage IIA Gastric Carcinoma AJCC v8 | Stage IIA Gastric (Stomach) Cancer	
NCIT:C133682	Clinical Stage IIB Gastric Cancer AJCC v8	Clinical Stage IIB Gastric Carcinoma AJCC v8 | Stage IIB Gastric (Stomach) Cancer	
NCIT:C133709	Recurrent Head and Neck Squamous Cell Carcinoma	Recurrent Head and Neck Squamous Cell Cancer | Recurrent Squamous Cell Carcinoma of the Head and Neck	
NCIT:C133713	Locally Advanced Paraganglioma	Locally Advanced Malignant Paraganglioma	
NCIT:C133716	Small Intestinal Cancer by AJCC v7 Stage	Small Intestinal Carcinoma by AJCC v7 Stage	
NCIT:C133724	Brown-Vialetto-Van Laere Syndrome 1	Bulbar Palsy, Progressive, with Sensorineural Deafness | BVVLS1	C0796274
NCIT:C133725	Familial Hypertrophic Cardiomyopathy Type 4	CMH4	C1861862
NCIT:C133727	Hypoparathyroidism-Intellectual Developmental Disorder-Dysmorphism Syndrome	HRDS | Hypoparathyroidism with Short Stature, Mental Retardation, and Seizures | Hypoparathyroidism, Congenital, Associated with Dysmorphism, Growth Retardation, and Developmental Delay | Hypoparathyroidism-Retardation-Dysmorphism Syndrome | Sanjad-Sakati Syndrome	C1855840
NCIT:C133729	Intellectual Developmental Disorder, X-linked 1	Mental Retardation, X-linked 1 | MRX1 | Nonsyndromic X-Linked Cognitive Disability	C2931498
NCIT:C133730	Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle) Type C, 1	LGMD2K | Limb-Girdle Muscular Dystrophy Type 2K | MDDGC1	C1836373
NCIT:C133731	Refractory Primary Amyloidosis		
NCIT:C133732	Recurrent Primary Amyloidosis		
NCIT:C133733	Appendix Carcinoma by AJCC v7 Stage	Appendiceal Carcinoma by AJCC v7 Stage	
NCIT:C133736	Refractory Classic Hodgkin Lymphoma	Refractory Classical Hodgkin Lymphoma	
NCIT:C133737	Refractory Malignant Solid Neoplasm	Refractory Malignant Solid Tumor	
NCIT:C133738	Rabbit Plasmacytoma		
NCIT:C133739	Rabbit Oral Cavity Squamous Cell Carcinoma		
NCIT:C133740	Rabbit Fibroma		
NCIT:C133741	Rabbit Cutaneous Lymphoma		
NCIT:C133742	Intellectual Developmental Disorder, Autosomal Dominant 9	Mental Retardation, Autosomal Dominant 9 | MRD9 | NESCAV Syndrome	C3280283
NCIT:C133743	Cortical Dysplasia-Focal Epilepsy Syndrome	CDFE Syndrome	C1864887
NCIT:C133744	Pterygium	Pterygium of Conjunctiva and Cornea	C0033999
NCIT:C13375	Chromosome Fragile Site	FRAGILE SITE	C0677504
NCIT:C133787	Anal Canal Cancer by AJCC v6 and v7 Stage	Anal Canal Carcinoma by AJCC v6 and v7 Stage | Anal Carcinoma by AJCC v6 and v7 Stage	
NCIT:C133794	Anal Cancer by AJCC v8 Stage	Anal Canal and Perianal (Anal Margin) Carcinoma by AJCC v8 Stage | Anal Carcinoma by AJCC v8 Stage	
NCIT:C133795	Stage 0 Anal Cancer AJCC v8	Stage 0 Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage 0 Anal Cancer | Stage 0 Anal Carcinoma AJCC v8	
NCIT:C133796	Stage I Anal Cancer AJCC v8	Stage I Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage I Anal Cancer | Stage I Anal Carcinoma AJCC v8	
NCIT:C133797	Stage II Anal Cancer AJCC v8	Stage II Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage II Anal Cancer | Stage II Anal Carcinoma AJCC v8	
NCIT:C133798	Stage IIA Anal Cancer AJCC v8	Stage IIA Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IIA Anal Cancer | Stage IIA Anal Carcinoma AJCC v8	
NCIT:C133799	Stage IIB Anal Cancer AJCC v8	Stage IIB Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IIB Anal Cancer | Stage IIB Anal Carcinoma AJCC v8	
NCIT:C133800	Stage III Anal Cancer AJCC v8	Stage III Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage III Anal Cancer | Stage III Anal Carcinoma AJCC v8	
NCIT:C133801	Stage IIIA Anal Cancer AJCC v8	Stage IIIA Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IIIA Anal Cancer | Stage IIIA Anal Carcinoma AJCC v8	
NCIT:C133802	Stage IIIB Anal Cancer AJCC v8	Stage IIIB Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IIIB Anal Cancer | Stage IIIB Anal Carcinoma AJCC v8	
NCIT:C133803	Stage IIIC Anal Cancer AJCC v8	Stage IIIC Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IIIC Anal Cancer | Stage IIIC Anal Carcinoma AJCC v8	
NCIT:C133804	Stage IV Anal Cancer AJCC v8	Stage IV Anal Canal and Perianal (Anal Margin) Carcinoma AJCC v8 | Stage IV Anal Cancer | Stage IV Anal Carcinoma AJCC v8	
NCIT:C133839	Metastatic Digestive System Carcinoma	Metastatic Digestive System Cancer | Metastatic Gastrointestinal Carcinoma | Metastatic Gastrointestinal System Cancer | Metastatic Gastrointestinal System Carcinoma	
NCIT:C133883	Rabbit Uterine Carcinoma		
NCIT:C133884	Plasminogen Activator Inhibitor-1 Deficiency		C2750067
NCIT:C133885	Anetoderma		C1288283
NCIT:C133886	Charcot-Marie-Tooth Disease Type 2K	Axonal Charcot-Marie-Tooth Disease Type 2K | CMT2K	C1842983
NCIT:C133887	Acute Hepatic Porphyria	ALAD Deficiency | Delta-Aminolevulinate Dehydratase Deficiency | Porphobilinogen Synthase Deficiency	C0268328
NCIT:C133893	Small Intestinal Adenocarcinoma by AJCC v8 Stage		
NCIT:C133894	Stage 0 Small Intestinal Adenocarcinoma AJCC v8	Stage 0 Small Intestinal Adenocarcinoma	
NCIT:C133895	Stage I Small Intestinal Adenocarcinoma AJCC v8	Stage I Small Intestinal Adenocarcinoma	
NCIT:C133896	Stage II Small Intestinal Adenocarcinoma AJCC v8	Stage II Small Intestinal Adenocarcinoma	
NCIT:C133897	Stage IIA Small Intestinal Adenocarcinoma AJCC v8	Stage IIA Small Intestinal Adenocarcinoma	
NCIT:C133898	Stage IIB Small Intestinal Adenocarcinoma AJCC v8	Stage IIB Small Intestinal Adenocarcinoma	
NCIT:C133899	Stage III Small Intestinal Adenocarcinoma AJCC v8	Stage III Small Intestinal Adenocarcinoma	
NCIT:C133900	Stage IIIA Small Intestinal Adenocarcinoma AJCC v8	Stage IIIA Small Intestinal Adenocarcinoma	
NCIT:C133901	Stage IIIB Small Intestinal Adenocarcinoma AJCC v8	Stage IIIB Small Intestinal Adenocarcinoma	
NCIT:C133902	Stage IV Small Intestinal Adenocarcinoma AJCC v8	Stage IV Small Intestinal Adenocarcinoma	
NCIT:C134117	Appendix Carcinoma by AJCC v8 Stage	Appendiceal Carcinoma by AJCC v8 Stage	
NCIT:C134118	Stage 0 Appendix Carcinoma AJCC v8	Stage 0 Appendiceal Carcinoma AJCC v8 | Stage 0 Appendix Cancer	
NCIT:C134119	Stage 0 Low Grade Appendix Mucinous Neoplasm (LAMN) AJCC v8	Stage 0 Low Grade Appendiceal Mucinous Neoplasm (LAMN) | Stage 0 Low-Grade Appendix Mucinous Neoplasm (LAMN) AJCC v8	
NCIT:C134120	Stage I Appendix Carcinoma AJCC v8	Stage I Appendiceal Carcinoma AJCC v8 | Stage I Appendix Cancer	
NCIT:C134121	Stage II Appendix Carcinoma AJCC v8	Stage II Appendiceal Carcinoma AJCC v8 | Stage II Appendix Cancer	
NCIT:C134122	Stage IIA Appendix Carcinoma AJCC v8	Stage IIA Appendiceal Carcinoma AJCC v8 | Stage IIA Appendix Cancer	
NCIT:C134123	Stage IIB Appendix Carcinoma AJCC v8	Stage IIB Appendiceal Carcinoma AJCC v8 | Stage IIB Appendix Cancer	
NCIT:C134124	Stage IIC Appendix Carcinoma AJCC v8	Stage IIC Appendiceal Carcinoma AJCC v8 | Stage IIC Appendix Cancer	
NCIT:C134125	Stage III Appendix Carcinoma AJCC v8	Stage III Appendiceal Carcinoma AJCC v8 | Stage III Appendix Cancer	
NCIT:C134126	Stage IIIA Appendix Carcinoma AJCC v8	Stage IIIA Appendiceal Carcinoma AJCC v8 | Stage IIIA Appendix Cancer	
NCIT:C134127	Stage IIIB Appendix Carcinoma AJCC v8	Stage IIIB Appendiceal Carcinoma AJCC v8 | Stage IIIB Appendix Cancer	
NCIT:C134128	Stage IIIC Appendix Carcinoma AJCC v8	Stage IIIC Appendiceal Carcinoma AJCC v8 | Stage IIIC Appendix Cancer	
NCIT:C134129	Stage IV Appendix Carcinoma AJCC v8	Stage IV Appendiceal Carcinoma AJCC v8 | Stage IV Appendix Cancer	
NCIT:C134130	Stage IVA Appendix Carcinoma AJCC v8	Stage IVA Appendiceal Carcinoma AJCC v8 | Stage IVA Appendix Cancer	
NCIT:C134131	Stage IVB Appendix Carcinoma AJCC v8	Stage IVB Appendiceal Carcinoma AJCC v8 | Stage IVB Appendix Cancer	
NCIT:C134132	Stage IVC Appendix Carcinoma AJCC v8	Stage IVC Appendiceal Carcinoma AJCC v8 | Stage IVC Appendix Cancer	
NCIT:C134153	Refractory Neuroblastoma		
NCIT:C134154	Refractory Lymphoma		
NCIT:C134157	Recurrent Lymphoma		
NCIT:C134168	Refractory Histiocytic and Dendritic Cell Neoplasm		
NCIT:C134172	Recurrent Histiocytic and Dendritic Cell Neoplasm		
NCIT:C134175	Recurrent Langerhans Cell Histiocytosis		
NCIT:C134177	Refractory Langerhans Cell Histiocytosis		
NCIT:C134180	Colorectal Cancer by AJCC v8 Stage	Colorectal Carcinoma by AJCC v8 Stage	
NCIT:C134182	Stage 0 Colorectal Cancer AJCC v8	Stage 0 Colorectal (Colon or Rectal) Cancer | Stage 0 Colorectal Carcinoma AJCC v8	
NCIT:C134185	Stage I Colorectal Cancer AJCC v8	Stage I Colorectal (Colon or Rectal) Cancer | Stage I Colorectal Carcinoma AJCC v8	
NCIT:C134186	Stage II Colorectal Cancer AJCC v8	Stage II Colorectal (Colon or Rectal) Cancer | Stage II Colorectal Carcinoma AJCC v8	
NCIT:C134187	Stage IIA Colorectal Cancer AJCC v8	Stage IIA Colorectal (Colon or Rectal) Cancer | Stage IIA Colorectal Carcinoma AJCC v8	
NCIT:C134188	Stage IIB Colorectal Cancer AJCC v8	Stage IIB Colorectal (Colon or Rectal) Cancer | Stage IIB Colorectal Carcinoma AJCC v8	
NCIT:C134190	Stage IIC Colorectal Cancer AJCC v8	Stage IIC Colorectal (Colon or Rectal) Cancer | Stage IIC Colorectal Carcinoma AJCC v8	
NCIT:C134191	Stage III Colorectal Cancer AJCC v8	Stage III Colorectal (Colon or Rectal) Cancer | Stage III Colorectal Carcinoma AJCC v8	
NCIT:C134192	Stage IIIA Colorectal Cancer AJCC v8	Stage IIIA Colorectal (Colon or Rectal) Cancer | Stage IIIA Colorectal Carcinoma AJCC v8	
NCIT:C134193	Stage IIIB Colorectal Cancer AJCC v8	Stage IIIB Colorectal (Colon or Rectal) Cancer | Stage IIIB Colorectal Carcinoma AJCC v8	
NCIT:C134194	Stage IIIC Colorectal Cancer AJCC v8	Stage IIIC Colorectal (Colon or Rectal) Cancer | Stage IIIC Colorectal Carcinoma AJCC v8	
NCIT:C134195	Stage IV Colorectal Cancer AJCC v8	Stage IV Colorectal (Colon or Rectal) Cancer | Stage IV Colorectal Carcinoma AJCC v8	
NCIT:C134196	Stage IVA Colorectal Cancer AJCC v8	Stage IVA Colorectal (Colon or Rectal) Cancer | Stage IVA Colorectal Carcinoma AJCC v8	
NCIT:C134197	Stage IVB Colorectal Cancer AJCC v8	Stage IVB Colorectal (Colon or Rectal) Cancer | Stage IVB Colorectal Carcinoma AJCC v8	
NCIT:C134198	Stage IVC Colorectal Cancer AJCC v8	Stage IVC Colorectal (Colon or Rectal) Cancer | Stage IVC Colorectal Carcinoma AJCC v8	
NCIT:C134251	Colon Cancer by AJCC v8 Stage	Colon Carcinoma by AJCC v8 Stage	
NCIT:C134258	Rectal Cancer by AJCC v8 Stage	Rectal Carcinoma by AJCC v8 Stage	
NCIT:C134271	Stage 0 Colon Cancer AJCC v8	Stage 0 Colon Cancer	
NCIT:C134273	Stage I Colon Cancer AJCC v8	Stage I Colon Cancer	
NCIT:C134274	Stage II Colon Cancer AJCC v8	Stage II Colon Cancer	
NCIT:C134280	Stage IIA Colon Cancer AJCC v8	Stage IIA Colon Cancer	
NCIT:C134281	Stage IIB Colon Cancer AJCC v8	Stage IIB Colon Cancer	
NCIT:C134282	Stage IIC Colon Cancer AJCC v8	Stage IIC Colon Cancer	
NCIT:C134283	Stage III Colon Cancer AJCC v8	Stage III Colon Cancer	
NCIT:C134284	Stage IIIA Colon Cancer AJCC v8	Stage IIIA Colon Cancer	
NCIT:C134285	Stage IIIB Colon Cancer AJCC v8	Stage IIIB Colon Cancer	
NCIT:C134286	Stage IIIC Colon Cancer AJCC v8	Stage IIIC Colon Cancer	
NCIT:C134287	Stage IV Colon Cancer AJCC v8	Stage IV Colon Cancer	
NCIT:C134288	Stage IVA Colon Cancer AJCC v8	Stage IVA Colon Cancer	
NCIT:C134289	Stage IVB Colon Cancer AJCC v8	Stage IVB Colon Cancer	
NCIT:C134290	Stage IVC Colon Cancer AJCC v8	Stage IVC Colon Cancer	
NCIT:C134291	Stage 0 Rectal Cancer AJCC v8	Stage 0 Rectal Cancer	
NCIT:C134292	Stage I Rectal Cancer AJCC v8	Stage I Rectal Cancer	
NCIT:C134293	Stage II Rectal Cancer AJCC v8	Stage II Rectal Cancer	
NCIT:C134294	Stage IIA Rectal Cancer AJCC v8	Stage IIA Rectal Cancer	
NCIT:C134295	Stage IIB Rectal Cancer AJCC v8	Stage IIB Rectal Cancer	
NCIT:C134296	Stage IIC Rectal Cancer AJCC v8	Stage IIC Rectal Cancer	
NCIT:C134297	Stage III Rectal Cancer AJCC v8	Stage III Rectal Cancer	
NCIT:C134298	Stage IIIA Rectal Cancer AJCC v8	Stage IIIA Rectal Cancer	
NCIT:C134299	Stage IIIB Rectal Cancer AJCC v8	Stage IIIB Rectal Cancer	
NCIT:C134300	Stage IIIC Rectal Cancer AJCC v8	Stage IIIC Rectal Cancer	
NCIT:C134301	Stage IV Rectal Cancer AJCC v8	Stage IV Rectal Cancer	
NCIT:C134302	Stage IVA Rectal Cancer AJCC v8	Stage IVA Rectal Cancer	
NCIT:C134303	Stage IVB Rectal Cancer AJCC v8	Stage IVB Rectal Cancer	
NCIT:C134304	Stage IVC Rectal Cancer AJCC v8	Stage IVC Rectal Cancer	
NCIT:C134319	Refractory Acute Myeloid Leukemia	Refractory Acute Myeloid Leukemia (AML) | Refractory AML	
NCIT:C134514	Intrahepatic Cholangiocarcinoma by AJCC v7 Stage		
NCIT:C134515	Hepatocellular Carcinoma by AJCC v8 Stage	Liver Cell Carcinoma by AJCC v8 Stage | Tumor Stage (Pathologic)	
NCIT:C134516	Stage I Hepatocellular Carcinoma AJCC v8	Stage I Hepatocellular Cancer | Stage I Liver Cell Carcinoma AJCC v8	
NCIT:C134517	Stage IA Hepatocellular Carcinoma AJCC v8	IA | Stage IA Hepatocellular Cancer | Stage IA Liver Cell Carcinoma AJCC v8	
NCIT:C134518	Stage IB Hepatocellular Carcinoma AJCC v8	IB | Stage IB Hepatocellular Cancer | Stage IB Liver Cell Carcinoma AJCC v8	
NCIT:C134519	Stage II Hepatocellular Carcinoma AJCC v8	II | Stage II Hepatocellular Cancer | Stage II Liver Cell Carcinoma AJCC v8	
NCIT:C134520	Stage III Hepatocellular Carcinoma AJCC v8	Stage III Hepatocellular Cancer | Stage III Liver Cell Carcinoma AJCC v8	
NCIT:C134521	Stage IIIA Hepatocellular Carcinoma AJCC v8	IIIA | Stage IIIA Hepatocellular Cancer | Stage IIIA Liver Cell Carcinoma AJCC v8	
NCIT:C134522	Stage IIIB Hepatocellular Carcinoma AJCC v8	IIIB | Stage IIIB Hepatocellular Cancer | Stage IIIB Liver Cell Carcinoma AJCC v8	
NCIT:C134523	Stage IV Hepatocellular Carcinoma AJCC v8	Stage IV Hepatocellular Cancer | Stage IV Liver Cell Carcinoma AJCC v8	
NCIT:C134524	Stage IVA Hepatocellular Carcinoma AJCC v8	IVA | Stage IVA Hepatocellular Cancer | Stage IVA Liver Cell Carcinoma AJCC v8	
NCIT:C134525	Stage IVB Hepatocellular Carcinoma AJCC v8	IVB | Stage IVB Hepatocellular Cancer | Stage IVB Liver Cell Carcinoma AJCC v8	
NCIT:C134526	Canine Neoplasm		
NCIT:C134527	Bovine Neoplasm		
NCIT:C134533	Non-Human or Experimental Organism Neoplasm by Organism	Experimental Organism Neoplasm by Organism	
NCIT:C134556	Chicken Bursal Lymphoma		
NCIT:C134557	Chicken Fibrosarcoma		
NCIT:C134558	Chicken Hepatoma		
NCIT:C134559	Feline Bronchioloalveolar Lung Carcinoma		
NCIT:C134560	Feline Fibrosarcoma		
NCIT:C134561	Gerbil Fibroma		
NCIT:C134562	Goldfish Erythrophoroma		
NCIT:C134563	Guinea Pig Colon Adenocarcinoma		
NCIT:C134564	Guinea Pig Leukemia		
NCIT:C134565	Hamster Buccal Pouch Carcinoma		
NCIT:C134566	Hamster Cholangiocarcinoma		
