id	label	synonyms	umls
NCIT:C101269	Unilateral Optic Nerve Hypoplasia	Hypoplasia of the Optic Nerve, Unilateral | Unilateral Hypoplasia of the Optic Nerve	C3640068
NCIT:C101270	Kernicterus Related to Isoimmunization	Kernicterus due to Isoimmunization	C0270204
NCIT:C101272	Spinal Cord Infarct During Birth	Spinal Cord Infarct Related to Birth	C3640070
NCIT:C101273	Suspected Necrotizing Enterocolitis		C3640071
NCIT:C101279	Laryngeal Agenesis	Agenesis of Larynx	C1261566
NCIT:C101304	Hemolytic Disease of the Newborn	Erythroblastosis Fetalis | HDFN | Hemolytic Disease of the Fetus or Newborn | Isoimmune Hemolytic Disease of the Newborn	C0014761
NCIT:C101316	Facial Nerve Palsy Related to Trauma	Facial Nerve Palsy due to Trauma	C3640084
NCIT:C101320	Perinatal Blood Aspiration Syndrome	Perinatal Aspiration of Blood	C3640085
NCIT:C101321	Neonatal Drug Withdrawal	Drug Withdrawal Syndrome in Newborn | DWN	C3540839
NCIT:C101322	Complete Atrioventricular Septal Defect with Tetralogy of Fallot	Tetralogy of Fallot - Complete AV Canal Defect	C3640086
NCIT:C101325	Heterotaxy Syndrome with Polysplenia	Heterotaxy, Polysplenia	C3640087
NCIT:C101326	Heterotaxy Syndrome with Asplenia	Heterotaxy, Asplenia	C3640088
NCIT:C101328	Mitochondrial Myopathy		C0162670
NCIT:C101329	Congenital Malformation Syndrome Related to Known Exogenous Cause	Congenital Malformation Syndrome due to Known Exogenous Cause	C0452132
NCIT:C101331	Respiratory Failure Related to Neuromuscular Disorder	Respiratory Failure due to Neuromuscular Disorder	C3640089
NCIT:C101332	Respiratory Failure Related to Central Nervous System Disorder	Respiratory Failure due to Central Nervous System Disorder | Respiratory Failure due to CNS Disorder	C3640090
NCIT:C101333	Coagulation Disorder Related to Liver Dysfunction	Blood Coagulation Disorder due to Liver Disease | Coagulation Defects due to Liver Disease	C0272271
NCIT:C101334	Organic Acid Metabolism Disorder	Disorder of Organic Acid Metabolism	C1263739
NCIT:C101338	Arterial Thrombosis Related to Vascular Access Complication	Acquired Secondary Arterial Thrombosis due to Catheter Complication	C3640091
NCIT:C101339	Venous Thrombosis Related to Vascular Access Complication	Acquired Secondary Venous Thrombosis due to Catheter Complication | Venous Thrombosis due to Vascular Access Complication	C3640092
NCIT:C101362	Complete Trisomy 18 Syndrome	Edwards Syndrome | Trisomy 18	C0152096
NCIT:C101539	Stage I Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7	Stage I Differentiated Thyroid Gland Cancer Under 45 Years | Stage I Differentiated Thyroid Gland Carcinoma Under 45 Years | Stage I Thyroid Gland Papillary or Follicular Carcinoma Under 45 Years	C3640140
NCIT:C101540	Stage I Differentiated Thyroid Gland Carcinoma 45 Years and Older AJCC v7	Stage I Differentiated Thyroid Gland Cancer 45 Years and Older | Stage I Differentiated Thyroid Gland Carcinoma 45 Years and Older | Stage I Thyroid Gland Papillary or Follicular Carcinoma 45 Years and Older	C3640141
NCIT:C101541	Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7	Stage II Differentiated Thyroid Gland Cancer Under 45 Years | Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years | Stage II Thyroid Gland Papillary or Follicular Carcinoma Under 45 Years	C3640142
NCIT:C101542	Stage II Differentiated Thyroid Gland Carcinoma 45 Years and Older AJCC v7	Stage II Differentiated Thyroid Gland Cancer 45 Years and Older | Stage II Differentiated Thyroid Gland Carcinoma 45 Years and Older | Stage II Thyroid Gland Papillary or Follicular Carcinoma 45 Years and Older	C3640143
NCIT:C102532	Lymphoid Hyperplasia		C0333997
NCIT:C102570	Broad Ligament Adenosarcoma		C3640823
NCIT:C102820	Chronic Endometritis		C0238104
NCIT:C102845	Stage 2A Neuroblastoma	Stage IIA Neuroblastoma	C3640961
NCIT:C102846	Stage 2B Neuroblastoma	Stage IIB Neuroblastoma	C3640962
