id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:730281	Sclerosing epithelioid fibrosarcoma	SEF							730281			
ORPHA:261501	Atypical Norrie disease due to Xp11.3 microdeletion	Atypical Norrie disease due to del(X)(p11.3) | Atypical Norrie disease due to nullisomy Xp11.3							261501		C4518083	
ORPHA:2634	Mesomelic dwarfism, Reinhardt-Pfeiffer type	Reinhardt-Pfeiffer mesomelic dysplasia | Reinhardt-Pfeiffer syndrome							2634	191400	C1860616	C537349
ORPHA:2646	Parastremmatic dysplasia	Parastremmatic dwarfism							2646	168400	C1868616	C537172
ORPHA:261579	OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to copy number variations	OBSOLETE: Blepharophimosis types 1 and 2 due to copy number variations | OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to a CNV							261579			
ORPHA:2645	Osteoglosphonic dysplasia	Osteoglophonic dwarfism							2645	166250	C0432283	C536050
ORPHA:261584	5q22 microdeletion syndrome	Del(5)(q22) syndrome | Monosomy 5q22 syndrome							261584		C5548205	
ORPHA:730332	Charcot-Marie-Tooth disease type 1J	CMT1J							730332	620111		
ORPHA:261600	Alagille syndrome due to 20p12 microdeletion	Alagille syndrome due to del(20)(p12) | Alagille syndrome due to monosomy 20p12 | Alagille-Watson syndrome due to monosomy 20p12 | Arteriohepatic dysplasia due to monosomy 20p12 | Syndromic bile duct paucity due to monosomy 20p12							261600		C5679679	
ORPHA:261619	Alagille syndrome due to a JAG1 point mutation	Alagille-Watson syndrome due to a JAG1 point mutation | Arteriohepatic dysplasia due to a JAG1 point mutation | Syndromic bile duct paucity due to a JAG1 point mutation							261619		C5679680	
ORPHA:2643	Microcephalic primordial dwarfism, Toriello type								2643	251190	C1855089	C537321
ORPHA:261537	Mowat-Wilson syndrome due to monosomy 2q22	Hirschsprung disease and intellectual disability due to 2q22 microdeletion | Hirschsprung disease and intellectual disability due to del(2)(q22) | Hirschsprung disease and intellectual disability due to monosomy 2q22 | Mowat-Wilson syndrome due to 2q22 microdeletion | Mowat-Wilson syndrome due to del(2)q(22)							261537		C5437617	
ORPHA:730327	Global developmental delay-microcephaly-ataxia-perpipheral demyelinating neuropathy-intellectual disability syndrome	NARS1-related neurodevelopmental disorder							730327			
ORPHA:261552	Mowat-Wilson syndrome due to a ZEB2 point mutation	Hirschsprung disease and intellectual disability due to a ZEB2 point mutation							261552		C5679681	
ORPHA:730318	ITPR3-related combined immunodeficiency-ectodermal dysplasia syndrome								730318	621254		
ORPHA:261559	OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to 3q23 rearrangement syndrome								261559			
ORPHA:730322	Isolated anophthalmia								730322			
ORPHA:261572	OBSOLETE: Blepharophimosis-epicanthus inversus-ptosis due to a point mutation syndrome	OBSOLETE: Blepharophimosis types 1 and 2 due to a point mutation							261572			
ORPHA:2636	Microcephalic osteodysplastic primordial dwarfism types I and III	MOPD types I and III | Microcephalic osteodysplastic primordial dwarfism, Taybi-Linder type | Primordial microcephalic dwarfism, Crachami type | Taybi-Linder syndrome							2636		C4319565	
ORPHA:730379	Papulonecrotic tuberculid								730379			
ORPHA:261697	OBSOLETE: Anomaly of chromosome 1								261697			
ORPHA:2658	Lenz-Majewski hyperostotic dysplasia	Lenz-Majewski hyperostotic dwarfism | Lenz-Majewski syndrome							2658	151050	C0432269	C537115
ORPHA:730382	Genetic midbrain-hindbrain malformation								730382			
ORPHA:261700	OBSOLETE: Anomaly of chromosome 2								261700			
ORPHA:730373	Tuberculid								730373			
ORPHA:261703	OBSOLETE: Anomaly of chromosome 3								261703			
ORPHA:730376	Rare acquired isolated progressive generalized retinal disorder								730376			
ORPHA:261706	OBSOLETE: Anomaly of chromosome 4								261706			
ORPHA:261629	Alagille syndrome due to a NOTCH2 point mutation	Alagille-Watson syndrome due to a NOTCH2 point mutation | Arteriohepatic dysplasia due to a NOTCH2 point mutation | Syndromic bile duct paucity due to a NOTCH2 point mutation							261629	610205	C1857761	
ORPHA:730363	Ethanol-producing endogenous fermentation syndrome	Auto-brewery syndrome | Endogenous ethanol fermentation syndrome | ABS							730363			
ORPHA:261638	Okihiro syndrome due to 20q13 microdeletion	Duane-radial ray syndrome due to monosomy 20q13 | Okihiro syndrome due to del(20)(q13) | Okihiro syndrome due to monosomy 20q13							261638		C5679682	
ORPHA:2650	OBSOLETE: Dwarfism-intellectual disability-eye abnormality syndrome	OBSOLETE: Mollica-Pavone-Antener syndrome							2650			
ORPHA:261647	Okihiro syndrome due to a point mutation	Duane-radial ray syndrome due to a point mutation							261647		C5679683	
ORPHA:730355	Global developmental delay-severe feeding difficulties-short stature-multiple congenital anomalies syndrome	RYBP-related neurodevelopmental disorder							730355			
ORPHA:2654	Syndesmodysplasic dwarfism	Laplane-Fontaine-Lagardere syndrome							2654	272450	C2931647	
ORPHA:261652	Kleefstra syndrome due to a point mutation								261652		C5680724	
ORPHA:3061	OBSOLETE: X-linked intellectual disability, Raynaud type								3061			
ORPHA:264200	14q22q23 microdeletion syndrome	14q22-q23 microdeletion syndrome | Del(14)(q22q23) | Monosomy 14q22-q23 | Monosomy 14q22q23							264200	609640	C1864825	
ORPHA:263798	OBSOLETE: Y chromosomal anomaly								263798			
ORPHA:3062	OBSOLETE: X-linked intellectual disability, Schutz type								3062			
ORPHA:3059	X-linked intellectual disability, Gu type	MRX35							3059			
ORPHA:263793	Uniparental disomy of chromosome X syndrome	UPD(X)							263793		C5679684	
ORPHA:263783	Partial duplication of the long arm of chromosome X syndrome	Partial duplication of chromosome Xq | Partial trisomy of  chromosome Xq | Partial trisomy of the long arm of chromosome X							263783		C5679685	
ORPHA:3056	X-linked intellectual disability, Brooks type								3056			
