id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0004345	childhood malignant schwannoma	childhood malignant neoplasm of peripheral nerve sheath | childhood malignant neoplasm of the peripheral nerve sheath | childhood malignant neurilemmoma | childhood malignant peripheral nerve sheath neoplasm | childhood malignant peripheral nerve sheath tumor | childhood malignant peripheral nerve sheath tumour | childhood malignant tumor of peripheral nerve sheath | childhood malignant tumor of the peripheral nerve sheath | childhood malignant tumour of peripheral nerve sheath | childhood malignant tumour of the peripheral nerve sheath | childhood MPNST | childhood neurofibrosarcoma | childhood neurogenic sarcoma | paediatric malignant neoplasm of peripheral nerve sheath | paediatric malignant neoplasm of the peripheral nerve sheath | paediatric malignant neurilemmoma | paediatric malignant peripheral nerve sheath neoplasm | paediatric malignant peripheral nerve sheath tumour | paediatric malignant schwannoma | paediatric malignant tumour of peripheral nerve sheath | paediatric malignant tumour of the peripheral nerve sheath | paediatric MPNST | pediatric malignant neoplasm of peripheral nerve sheath | pediatric malignant neoplasm of the peripheral nerve sheath | pediatric malignant neurilemmoma | pediatric malignant peripheral nerve sheath neoplasm | pediatric malignant peripheral nerve sheath tumor | pediatric malignant schwannoma | pediatric malignant tumor of peripheral nerve sheath | pediatric malignant tumor of the peripheral nerve sheath | pediatric MPNST		7732	C8094			C0279987	
MONDO:0004346	signet ring cell intrahepatic cholangiocarcinoma			7733	C41619			C1519321	
MONDO:0004348	retinal telangiectasia		84884003	7736				C0154835	
MONDO:0004349	retina lymphoma	lymphoma of retina | lymphoma of the retina | primary retinal lymphoma | retinal lymphoma	232075002	774	C4365			C0339556	
MONDO:0004350	pediatric extraocular retinoblastoma	childhood extraocular retinoblastoma | childhood metastatic retinoblastoma | extraocular retinoblastoma of childhood		7747	C9048			C1321870	
MONDO:0004351	intraocular lymphoma	primary intraocular lymphoma | primary intraocular non-Hodgkin's lymphoma	420788006	775	C9184		279904	C0281658	D064090
MONDO:0004352	adult brain ependymoma			7750	C9372			C1332186	
MONDO:0004353	extrahepatic biliary papillomatosis	extrahepatic bile duct papillary neoplasm | extrahepatic bile duct papillomatosis		7752	C7124			C1333511	
MONDO:0004354	neonatal leukemia			7756	C3845			C0235813	
MONDO:0004355	childhood leukemia	childhood leukaemia (disease) | childhood leukemia (disease) | leukaemia (disease) of childhood | leukemia (disease) of childhood | paediatric leukaemia (disease) | pediatric leukemia (disease)		7757	C4989			C1332977	
MONDO:0004356	childhood multilocular cystic kidney neoplasm	childhood multilocular cystic kidney tumor | childhood multilocular cystic kidney tumour | childhood multilocular cystic renal neoplasm | childhood multilocular cystic renal tumor | childhood multilocular cystic renal tumour | paediatric multilocular cystic kidney neoplasm | paediatric multilocular cystic kidney tumour | paediatric multilocular cystic renal neoplasm | paediatric multilocular cystic renal tumour | pediatric multilocular cystic kidney neoplasm | pediatric multilocular cystic kidney tumor | pediatric multilocular cystic renal neoplasm | pediatric multilocular cystic renal tumor		7762	C6566			C1332983	
